,도소매업생산지수,음식숙박업생산지수,금융보험생산지수,부동산및임대업생산지수,운수보관생산지수,정보통신업,보건및사회복지업생산지수,사업서비스업생산지수,수신,여신,실업률,여수신,광공업생산지수,건설업생산지수,KOSPI,interest,gdpRate,CPI,export,import,label
2011-10-31,0.03290870488322706,-0.015860428231562307,0.07885906040268442,-0.1128241065171689,0.029636711281070927,0.0744544287548139,0.07499999999999996,0.0338600451467268,0.03944907191640423,0.07325028615401741,-0.12121212121212122,-0.18445895761643205,0.043,0.019,0.013755604982177871,0.057699999999999994,0.005,0.036,0.076,0.154,1.0
2011-11-30,0.024236037934667998,-0.022727272727272707,0.052980132450331174,-0.12285714285714289,0.027888446215139417,0.04826732673267342,0.06927175843694511,0.0426267281105992,0.04688561224968413,0.0745235314188537,-0.033333333333333326,-0.14503970976317582,0.037000000000000005,-0.07200000000000001,-0.030448974724982314,0.058300000000000005,0.005,0.042,0.115,0.1119999999999999,0.0
2011-12-31,0.023373983739837456,-0.03622693096377316,0.03284072249589487,-0.13245033112582782,-0.0019029495718362321,0.05334626576139678,0.07624113475177308,0.03646408839779003,0.05550149827592099,0.07703443890536787,-0.1428571428571429,-0.09784831815312545,0.024,0.016,-0.11634210013717006,0.056900000000000006,0.005,0.042,0.0819999999999999,0.136,0.0
2012-01-31,0.012658227848101333,-0.06531881804043538,0.021001615508885463,-0.13696808510638292,0.0,0.04260985352862856,0.026981450252951067,0.04958677685950419,0.04908929161459197,0.07324405935547929,-0.07894736842105254,-0.1331194855508524,-0.032,-0.11,-0.05662393069222116,0.0579,0.009000000000000001,0.034,-0.073,0.037,1.0
2012-02-29,0.04982206405693956,0.012875536480686733,0.13089005235602102,-0.12087186261558791,0.058002148227712214,0.0681198910081744,0.06794425087108014,0.05655836341756926,0.043789739096149694,0.06773066815602125,-0.06666666666666665,-0.1285693330725607,0.153,0.083,0.045831829782104094,0.0571,0.009000000000000001,0.03,0.204,0.239,1.0
2012-03-31,0.0020768431983384517,-0.002450980392156965,0.03164556962025311,-0.09625275532696542,-0.027675276752767486,0.024067388688327362,0.089126559714795,0.04444444444444451,0.05983460487817083,0.06152976943951982,-0.13953488372093015,0.04631359625877951,0.008,-0.071,-0.04498004450531834,0.05740000000000001,0.009000000000000001,0.027,-0.015,-0.011,2.0
2012-04-30,-0.006335797254487963,-0.03070866141732287,-0.012499999999999956,-0.04016064257028118,-0.018147086914995225,0.04817708333333348,0.09982486865148843,0.04147465437788034,0.04437657305179843,0.055145388966451936,-0.05405405405405406,-0.04600285836293383,0.0,-0.07400000000000001,-0.10087725261662683,0.0571,0.006,0.026,-0.05,-0.005,2.0
2012-05-31,0.01337448559670773,-0.03719912472647702,0.04590163934426217,-0.03303055326176718,0.022662889518413554,0.051767676767676685,0.08177172061328775,0.060502283105023036,0.0505766658860034,0.052298913353540755,-0.03125,0.03531398211092052,0.032,-0.038,-0.15030970610929373,0.056600000000000004,0.006,0.025,-0.01,-0.018,2.0
2012-06-30,-0.0031023784901758056,-0.027993779160186527,0.016366612111292866,-0.0311284046692607,0.018095238095238164,0.034168564920273425,0.054635761589403975,0.05071664829106948,0.05348693163391238,0.05335390701505838,-0.030303030303030165,0.05458998873236798,0.006999999999999999,-0.139,-0.12491496815788317,0.0558,0.006,0.022,0.009,-0.063,2.0
2012-07-31,0.016949152542372836,-0.011194029850746245,0.017628205128205066,-0.04194756554307111,0.0037037037037037646,0.027027027027026973,0.0755033557046978,0.032150776053214924,0.04532551127874518,0.046994880869620115,-0.06060606060606055,0.03115509486009249,0.0,0.034,-0.125298146750902,0.0545,0.005,0.015,-0.087,-0.052,2.0
