"시점",원데이터,전년동월 대비 증감률
"2019.11",99.481,0.2
"2019.12",99.719,0.7
"2020.01",100.09,1.2
"2020.02",100.16,0.9
"2020.03",99.94,0.8
"2020.04",99.50,0.0
"2020.05",99.44,-0.2
"2020.06",99.71,0.2
"2020.07",99.63,0.4
"2020.08",100.19,0.8
"2020.09",100.74,0.9
"2020.10",100.18,0.1
"2020.11",100.09,0.6
"2020.12",100.33,0.6
"2021.01",101.04,0.9
"2021.02",101.58,1.4
"2021.03",101.84,1.9
"2021.04",101.98,2.5
"2021.05",102.05,2.6
"2021.06",102.05,2.3
"2021.07",102.26,2.6
"2021.08",102.75,2.6
"2021.09",103.17,2.4
"2021.10",103.35,3.2
"2021.11",103.87,3.8
"2021.12",104.04,3.7
"2022.01",104.69,3.6
"2022.02",105.30,3.7
"2022.03",106.06,4.1
"2022.04",106.85,4.8
"2022.05",107.56,5.4
"2022.06",108.22,6.0
"2022.07",108.74,6.3
"2022.08",108.62,5.7
"2022.09",108.93,5.6
"2022.10",109.21,5.7
"2022.11",109.10,5.0
"2022.12",109.28,5.0
"2023.01",110.10,5.2
"2023.02",110.38,4.8
"2023.03",110.56,4.2
"2023.04",110.80,3.7
"2023.05",111.13,3.3
"2023.06",111.12,2.7
"2023.07",111.20,2.3
"2023.08",112.33,3.4
"2023.09",112.99,3.7
"2023.10",112.99,3.7
