,const_flow,const_order,const_growth,civil_engine,estimated_construction
2013-04-30,0.19100000000000003,-0.19899999999999998,0.245,0.121,0.055943389384182196
2013-05-31,0.122,-0.149,0.16,0.07400000000000001,0.022822598657720627
2013-06-30,0.147,-0.39,0.201,0.08900000000000001,0.039693223978058634
2013-07-31,0.111,-0.154,0.092,0.138,0.00736368757360828
2013-08-31,0.161,-0.13,0.276,0.021,0.06040723838469342
2013-09-30,0.057,0.03,0.11599999999999999,-0.019,-0.002114586104049576
2013-10-31,0.16899999999999998,0.336,0.187,0.145,0.009100473458665936
2013-11-30,0.114,0.11599999999999999,0.247,-0.036000000000000004,0.02657139557801569
2013-12-31,0.033,0.329,0.139,-0.07,-0.001622277708623332
2014-01-31,0.11699999999999999,0.559,0.23399999999999999,-0.03,0.027941013858885255
2014-02-28,0.065,0.193,0.195,-0.106,0.015134132483030305
2014-03-31,0.026000000000000002,-0.105,0.106,-0.086,-0.008418146703485174
2014-04-30,0.031000000000000003,0.456,0.128,-0.107,-0.0035500335531211125
2014-05-31,-0.011000000000000001,0.096,0.114,-0.179,0.0009201632267066273
2014-06-30,-0.013999999999999999,0.27,0.11699999999999999,-0.168,0.010511935129889904
2014-07-31,-0.008,0.218,0.106,-0.163,0.01807605332054074
2014-08-31,-0.006999999999999999,0.8740000000000001,0.048,-0.092,0.004444408620902118
2014-09-30,-0.04,0.321,0.026000000000000002,-0.136,-0.0010610106899126004
2014-10-31,-0.057,0.032,0.018000000000000002,-0.161,-0.003426953169501701
2014-11-30,-0.09300000000000001,-0.20800000000000002,-0.047,-0.16,-0.009605609800862114
2014-12-31,-0.028999999999999998,-0.039,0.003,-0.068,0.009169691869152174
2015-01-31,-0.002,0.35600000000000004,0.001,-0.006999999999999999,0.016615554547318556
2015-02-28,0.033,-0.035,0.023,0.05,0.024976917003698196
2015-03-31,0.01,1.521,0.013999999999999999,0.002,0.026465728413205714
2015-04-30,-0.059000000000000004,0.21300000000000002,-0.073,-0.032,0.00921228931692153
2015-05-31,-0.017,0.853,-0.009000000000000001,-0.032,0.018530853876413067
2015-06-30,0.04,0.467,0.017,0.076,0.019393050466300243
2015-07-31,0.032,0.23399999999999999,0.083,-0.057999999999999996,0.030405967343460683
2015-08-31,0.062000000000000006,-0.003,0.092,0.01,0.02575921628322364
2015-09-30,0.166,1.264,0.19100000000000003,0.125,0.042946710594156556
2015-10-31,0.067,0.298,0.14300000000000002,-0.06,0.022401555329679912
2015-11-30,0.077,1.07,0.168,-0.07400000000000001,0.02831960311386017
2015-12-31,0.156,0.10800000000000001,0.207,0.09,0.0375034903117033
2016-01-31,0.07200000000000001,-0.025,0.19,-0.11699999999999999,0.03312020195442145
2016-02-29,0.087,0.84,0.195,-0.095,0.02750679575224635
2016-03-31,0.20600000000000002,-0.07400000000000001,0.27899999999999997,0.08199999999999999,0.03929921889497634
2016-04-30,0.136,0.192,0.252,-0.067,0.023700915299162295
2016-05-31,0.167,-0.23600000000000002,0.265,-0.016,0.029300054702351197
2016-06-30,0.17600000000000002,-0.099,0.299,-0.009000000000000001,0.04019191115561194
2016-07-31,0.167,0.383,0.227,0.043,0.02903432805011663
2016-08-31,0.198,0.52,0.3,0.003,0.04366162502376092
2016-09-30,0.09300000000000001,-0.40299999999999997,0.187,-0.077,0.01888988878855291
2016-10-31,0.182,0.424,0.261,0.021,0.03367236508644189
2016-11-30,0.264,-0.047,0.341,0.10300000000000001,0.04912432991945881
2016-12-31,0.135,0.446,0.28800000000000003,-0.083,0.03729284230089025
2017-01-31,0.146,0.11699999999999999,0.239,-0.055999999999999994,0.026740725979591318
2017-02-28,0.23600000000000002,0.23399999999999999,0.311,0.066,0.04056171227695371
2017-03-31,0.20500000000000002,-0.302,0.29,0.036000000000000004,0.03594438298607949
2017-04-30,0.198,0.354,0.3,-0.04,0.0375363543172722
2017-05-31,0.166,0.187,0.231,0.011000000000000001,0.024418044732626765
2017-06-30,0.09300000000000001,0.027999999999999997,0.19,-0.098,0.017104369333817093
2017-07-31,0.136,-0.282,0.228,-0.087,0.02483941272248069
2017-08-31,0.08900000000000001,-0.035,0.192,-0.163,0.019638848795550334
2017-09-30,0.18300000000000002,0.07400000000000001,0.264,-0.005,0.03457728084119571
2017-10-31,-0.003,-0.341,0.07,-0.188,0.0009761401812427017
2017-11-30,0.016,-0.08800000000000001,0.08199999999999999,-0.15,0.00136408091186202
2017-12-31,0.013000000000000001,0.055999999999999994,0.06,-0.081,-0.004449992845393602
2018-01-31,0.159,0.5810000000000001,0.2,0.043,0.01864027396487855
2018-02-28,-0.008,-0.233,0.027999999999999997,-0.107,-0.00789689896212531
