,facil_inv,comp_yield,manuf_inv,prod_idx,manuf_ship_idx,inven_idx,util_idx,machine_order,service_idx,retail_idx,estimated_facility
2016-11-30,0.12300000000000001,0.0345,0.9923099999999999,0.9740000000000001,1.0228700000000002,0.88554,1.05556,0.21100000000000002,0.966,1.006,0.06386637760710467
2016-12-31,0.11199999999999999,0.0354,0.97669,0.9720000000000001,1.01515,0.8562900000000001,1.03072,0.334,0.9720000000000001,1.008,0.05869507792522599
2017-01-31,0.11599999999999999,0.0355,1.00054,0.9790000000000001,1.0228700000000002,0.8601300000000001,1.0712000000000002,0.253,0.971,0.997,0.058768319479662434
2017-02-28,0.195,0.0349,0.98663,0.9790000000000001,0.98714,0.8682599999999999,1.04433,0.005,0.971,1.0,0.07963354121053268
2017-03-31,0.21,0.0353,1.00747,0.991,1.00935,0.8711,1.05843,0.297,0.978,1.0050000000000001,0.07717142568239055
2017-04-30,0.165,0.0342,0.9916200000000001,0.9820000000000001,1.00066,0.8879000000000001,1.03359,0.392,0.9790000000000001,1.025,0.052602121150112424
2017-05-31,0.204,0.0345,0.9935299999999999,0.985,0.99197,0.9129300000000001,1.03797,0.179,0.981,1.0050000000000001,0.06457495341034658
2017-06-30,0.17500000000000002,0.0345,0.97416,0.9820000000000001,0.9968000000000001,0.89043,1.01871,0.156,0.9840000000000001,1.008,0.0520673371536553
2017-07-31,0.20800000000000002,0.0344,0.9782599999999999,0.983,0.9929300000000001,0.89232,1.02909,0.449,0.981,1.01,0.06159362968838167
2017-08-31,0.122,0.0344,0.97474,0.986,1.00549,0.90196,1.03127,0.409,0.9920000000000001,1.008,0.03756745147571561
2017-09-30,0.251,0.0348,0.98928,0.9990000000000001,1.00839,0.89988,1.03514,0.134,1.001,1.034,0.09037458026576761
2017-10-31,-0.004,0.0345,0.99151,0.99,1.01322,0.9240200000000001,1.03861,0.329,0.986,1.02,0.007010857376306134
2017-11-30,0.077,0.0354,0.9917400000000001,0.9940000000000001,1.02674,0.92134,1.03384,0.2,0.9940000000000001,1.033,0.02955659099710939
2017-12-31,0.05,0.0364,0.96123,0.9870000000000001,0.97844,0.9352400000000001,0.9973000000000001,-0.267,0.9920000000000001,1.035,0.013537633869611376
2018-01-31,0.217,0.0368,0.9848600000000001,0.996,1.00259,0.93553,1.02831,0.783,0.9940000000000001,1.0190000000000001,0.06635187337723192
2018-02-28,0.111,0.0369,0.99253,1.004,0.99197,0.9344100000000001,1.04637,-0.019,1.006,1.038,0.023862503228643916
2018-03-31,0.022000000000000002,0.0366,0.9817400000000001,0.991,0.97844,0.94932,1.0240900000000002,0.045,1.002,1.042,-0.012412485325313583
2018-04-30,0.027999999999999997,0.0364,1.01315,1.0070000000000001,1.00452,0.9574800000000001,1.04878,0.122,1.0070000000000001,1.041,-0.015003137092004515
2018-05-31,-0.04,0.0366,1.01855,1.0070000000000001,1.02481,0.94862,1.06396,0.081,1.0050000000000001,1.033,-0.026873341790762062
2018-06-30,-0.12400000000000001,0.0363,1.01021,1.0050000000000001,1.01708,0.96119,1.0438500000000002,-0.15,1.008,1.032,-0.04428143772047921
2018-07-31,-0.087,0.0364,1.0094,1.01,1.00549,0.9483,1.04038,-0.059000000000000004,1.008,1.032,-0.01972609962077243
2018-08-31,-0.095,0.0362,1.01346,1.0090000000000001,1.03253,0.95731,1.05389,-0.02,1.0090000000000001,1.032,-0.021945352379762362
2018-09-30,-0.189,0.0362,0.99759,1.001,1.01611,0.9543200000000001,1.02735,-0.005,1.01,1.024,-0.05449477914643985
2018-10-31,0.062000000000000006,0.0365,1.01833,1.011,1.03736,0.97133,1.0551300000000001,0.043,1.014,1.033,0.034493102926064445
2018-11-30,-0.10800000000000001,0.0369,0.9967199999999999,0.998,1.01322,0.99124,1.03257,-0.22,1.006,1.0370000000000001,-0.02986068249797036
2018-12-31,-0.138,0.037700000000000004,0.97197,0.9920000000000001,0.97941,1.00011,1.01509,0.10300000000000001,1.0070000000000001,1.034,-0.044823033109608446
2019-01-31,-0.15,0.0381,0.98764,1.0070000000000001,1.00935,0.97222,1.0238200000000002,-0.327,1.0190000000000001,1.046,-0.053255267478861334
2019-02-28,-0.25,0.0378,0.95464,0.9820000000000001,0.97265,0.97277,0.99055,-0.061,1.001,1.003,-0.0810939033921576
2019-03-31,-0.15,0.0371,0.97439,0.9940000000000001,0.9968000000000001,0.9615000000000001,1.00851,-0.111,1.011,1.032,-0.03853964206191485
2019-04-30,-0.043,0.0371,1.00126,1.01,0.99969,0.99077,1.03269,-0.057,1.0190000000000001,1.028,0.0065216216870176424
2019-05-31,-0.08,0.0367,0.99327,1.01,0.9900300000000001,1.00024,1.0298399999999999,-0.027999999999999997,1.021,1.036,-0.011713763019690404
2019-06-30,-0.067,0.0358,0.98923,0.9990000000000001,1.00066,0.98643,1.02096,-0.099,1.0070000000000001,1.0190000000000001,-0.011964151505683418
2019-07-31,-0.018000000000000002,0.0352,1.01487,1.0150000000000001,1.01418,1.01025,1.05647,-0.18100000000000002,1.018,1.021,0.000927231797817285
2019-08-31,-0.013000000000000001,0.0332,0.99335,1.016,1.02674,0.99654,1.03572,-0.105,1.032,1.045,-0.005602171928728694
2019-09-30,-0.002,0.0342,1.01729,1.0150000000000001,1.02674,1.01386,1.05695,-0.075,1.02,1.022,-0.009935285504937497
2019-10-31,-0.003,0.032799999999999996,1.01637,1.0190000000000001,1.02481,1.01278,1.04452,-0.121,1.023,1.0150000000000001,-0.018591640917657415
2019-11-30,0.017,0.0329,1.0157,1.0190000000000001,1.01128,1.00729,1.0237399999999999,0.08199999999999999,1.03,1.036,-0.004975868556591934
2019-12-31,0.11699999999999999,0.0336,1.04219,1.032,1.04123,0.97536,1.0498399999999999,0.287,1.031,1.033,0.037199402804761306
2020-01-31,-0.024,0.0332,1.006,1.036,0.998,1.011,1.032,0.259,1.054,1.03,-0.00661552894040085
2020-02-29,0.166,0.0319,0.97,1.0050000000000001,0.96,1.014,0.986,0.226,1.022,0.991,0.055506815272017285
2020-03-31,0.107,0.0294,1.023,0.99,1.02,0.995,1.034,0.09300000000000001,0.966,0.963,0.02841001922423736
2020-04-30,0.016,0.027700000000000002,0.9820000000000001,0.9720000000000001,0.961,1.0150000000000001,0.9770000000000001,-0.025,0.961,0.9520000000000001,-0.010113187591556994
2020-05-31,0.025,0.028300000000000002,0.9059999999999999,0.9590000000000001,0.8890000000000001,1.0270000000000001,0.898,-0.11900000000000001,0.978,0.9890000000000001,0.004165705975863965
2020-06-30,0.133,0.0275,0.966,0.988,0.968,1.012,0.961,0.066,0.99,1.003,0.0536812971024494
2020-07-31,0.07400000000000001,0.027400000000000004,0.9790000000000001,0.9940000000000001,0.9790000000000001,1.0070000000000001,0.975,0.07400000000000001,1.002,0.9920000000000001,0.0443176847722917
